"lang","country_alpha2_code","continent"
"AF","AD","EUROPA"
"AF","AE","ASIË"
"AF","AF","ASIË"
"AF","AG","NOORD-AMERIKA"
"AF","AI","NOORD-AMERIKA"
"AF","AL","EUROPA"
"AF","AM","ASIË"
"AF","AM","EUROPA"
"AF","AO","AFRIKA"
"AF","AQ","ANTARTIKA"
"AF","AR","SUID-AMERIKA"
"AF","AS","OSEANIË"
"AF","AT","EUROPA"
"AF","AU","OSEANIË"
"AF","AW","NOORD-AMERIKA"
"AF","AX","EUROPA"
"AF","AZ","ASIË"
"AF","AZ","EUROPA"
"AF","BA","EUROPA"
"AF","BB","NOORD-AMERIKA"
"AF","BD","ASIË"
"AF","BE","EUROPA"
"AF","BF","AFRIKA"
"AF","BG","EUROPA"
"AF","BH","ASIË"
"AF","BI","AFRIKA"
"AF","BJ","AFRIKA"
"AF","BL","NOORD-AMERIKA"
"AF","BM","NOORD-AMERIKA"
"AF","BN","ASIË"
"AF","BO","SUID-AMERIKA"
"AF","BQ","NOORD-AMERIKA"
"AF","BR","SUID-AMERIKA"
"AF","BS","NOORD-AMERIKA"
"AF","BT","ASIË"
"AF","BV","ANTARTIKA"
"AF","BW","AFRIKA"
"AF","BY","EUROPA"
"AF","BZ","NOORD-AMERIKA"
"AF","CA","NOORD-AMERIKA"
"AF","CC","ASIË"
"AF","CD","AFRIKA"
"AF","CF","AFRIKA"
"AF","CG","AFRIKA"
"AF","CH","EUROPA"
"AF","CI","AFRIKA"
"AF","CK","OSEANIË"
"AF","CL","SUID-AMERIKA"
"AF","CM","AFRIKA"
"AF","CN","ASIË"
"AF","CO","SUID-AMERIKA"
"AF","CR","NOORD-AMERIKA"
"AF","CU","NOORD-AMERIKA"
"AF","CV","AFRIKA"
"AF","CW","NOORD-AMERIKA"
"AF","CX","ASIË"
"AF","CY","ASIË"
"AF","CY","EUROPA"
"AF","CZ","EUROPA"
"AF","DE","EUROPA"
"AF","DJ","AFRIKA"
"AF","DK","EUROPA"
"AF","DM","NOORD-AMERIKA"
"AF","DO","NOORD-AMERIKA"
"AF","DZ","AFRIKA"
"AF","EC","SUID-AMERIKA"
"AF","EE","EUROPA"
"AF","EG","AFRIKA"
"AF","EH","AFRIKA"
"AF","ER","AFRIKA"
"AF","ES","EUROPA"
"AF","ET","AFRIKA"
"AF","FI","EUROPA"
"AF","FJ","OSEANIË"
